"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Alberta","2016A000248","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729314","10.1.1","0.0","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729328","10.1.2","9.8","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729342","10.1.3","33.5","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729356","10.1.4","28.8","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729370","10.1.5","18.3","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729384","10.1.6","9.6","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234817445","10.26.1","0.0","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234817443","10.26.2","8.2","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234817441","10.26.3","27.6","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234817442","10.26.4","28.0","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234817444","10.26.5","27.6","A","","","1"
"2020","Alberta","2016A000248","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234817440","10.26.6","8.7","A","","","1"
