"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Manitoba","2016A000246","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729312","8.1.1","8.2","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729326","8.1.2","19.6","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729340","8.1.3","35.6","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729354","8.1.4","23.2","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729368","8.1.5","12.4","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729382","8.1.6","0.9","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234817229","8.26.1","0.0","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234817227","8.26.2","4.7","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234817225","8.26.3","14.0","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234817226","8.26.4","65.0","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234817228","8.26.5","15.7","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234817224","8.26.6","0.6","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234817247","8.27.1","2.2","A","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234817245","8.27.2","19.8","B","","","1"
"2020","Manitoba","2016A000246","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234817243","8.27.3","24.6","C","","","1"
