"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","New Brunswick","2016A000213","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729309","5.1.1","3.5","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729323","5.1.2","12.1","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729337","5.1.3","28.4","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729351","5.1.4","40.3","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729365","5.1.5","13.2","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729379","5.1.6","2.5","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234816941","5.26.1","0.0","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234816939","5.26.2","2.8","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234816937","5.26.3","32.5","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234816938","5.26.4","43.8","B","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234816940","5.26.5","21.0","B","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234816936","5.26.6","0.0","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234816953","5.27.1","0.0","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234816951","5.27.2","7.4","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234816949","5.27.3","33.1","B","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: Performance/spectator","Good","Percentage","242","units","0","v1234816950","5.27.4","22.7","A","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: Performance/spectator","Very good","Percentage","242","units","0","v1234816952","5.27.5","36.8","B","","","1"
"2020","New Brunswick","2016A000213","Indoor ice arenas: Performance/spectator","Physical condition unknown","Percentage","242","units","0","v1234816948","5.27.6","0.0","A","","","1"
"2020","New Brunswick","2016A000213","Outdoor ice arenas","Very poor","Percentage","242","units","0","v1001730725","5.5.1","3.1","A","","","1"
"2020","New Brunswick","2016A000213","Outdoor ice arenas","Poor","Percentage","242","units","0","v1001730737","5.5.2","1.7","A","","","1"
"2020","New Brunswick","2016A000213","Outdoor ice arenas","Fair","Percentage","242","units","0","v1001730749","5.5.3","11.2","A","","","1"
"2020","New Brunswick","2016A000213","Outdoor ice arenas","Good","Percentage","242","units","0","v1001730761","5.5.4","41.2","A","","","1"
"2020","New Brunswick","2016A000213","Outdoor ice arenas","Very good","Percentage","242","units","0","v1001730773","5.5.5","32.5","A","","","1"
"2020","New Brunswick","2016A000213","Outdoor ice arenas","Physical condition unknown","Percentage","242","units","0","v1001730785","5.5.6","10.2","A","","","1"
"2020","New Brunswick","2016A000213","Curling rinks","Very poor","Percentage","242","units","0","v1001730058","5.19.1","0.0","A","","","1"
"2020","New Brunswick","2016A000213","Curling rinks","Poor","Percentage","242","units","0","v1001730071","5.19.2","21.8","C","","","1"
"2020","New Brunswick","2016A000213","Curling rinks","Fair","Percentage","242","units","0","v1001730084","5.19.3","19.0","C","","","1"
"2020","New Brunswick","2016A000213","Curling rinks","Good","Percentage","242","units","0","v1001730097","5.19.4","0.0","A","","","1"
"2020","New Brunswick","2016A000213","Curling rinks","Very good","Percentage","242","units","0","v1001730110","5.19.5","40.3","D","","","1"
"2020","New Brunswick","2016A000213","Curling rinks","Physical condition unknown","Percentage","242","units","0","v1001730123","5.19.6","19.0","C","","","1"
"2020","New Brunswick","2016A000213","Indoor pools, 25 metres","Very poor","Percentage","242","units","0","v1001730797","5.6.1","0.0","A","","","1"
"2020","New Brunswick","2016A000213","Indoor pools, 25 metres","Poor","Percentage","242","units","0","v1001730811","5.6.2","11.0","B","","","1"
"2020","New Brunswick","2016A000213","Indoor pools, 25 metres","Fair","Percentage","242","units","0","v1001730825","5.6.3","25.2","B","","","1"
"2020","New Brunswick","2016A000213","Indoor pools, 25 metres","Good","Percentage","242","units","0","v1001730839","5.6.4","44.5","B","","","1"
"2020","New Brunswick","2016A000213","Indoor pools, 25 metres","Very good","Percentage","242","units","0","v1001730853","5.6.5","2.6","A","","","1"
