"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729306","2.1.1","3.1","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729320","2.1.2","6.1","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729334","2.1.3","33.7","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729348","2.1.4","31.8","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729362","2.1.5","18.8","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729376","2.1.6","6.5","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234816581","2.26.1","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234816579","2.26.2","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234816577","2.26.3","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234816578","2.26.4","83.3","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234816580","2.26.5","16.7","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234816576","2.26.6","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234816599","2.27.1","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234816597","2.27.2","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234816595","2.27.3","22.4","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: Performance/spectator","Good","Percentage","242","units","0","v1234816596","2.27.4","51.1","D","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: Performance/spectator","Very good","Percentage","242","units","0","v1234816598","2.27.5","26.5","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor ice arenas: Performance/spectator","Physical condition unknown","Percentage","242","units","0","v1234816594","2.27.6","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor ice arenas","Very poor","Percentage","242","units","0","v1001730722","2.5.1","8.7","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor ice arenas","Poor","Percentage","242","units","0","v1001730734","2.5.2","15.5","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor ice arenas","Fair","Percentage","242","units","0","v1001730746","2.5.3","10.5","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor ice arenas","Good","Percentage","242","units","0","v1001730758","2.5.4","44.0","D","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor ice arenas","Very good","Percentage","242","units","0","v1001730770","2.5.5","19.7","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor ice arenas","Physical condition unknown","Percentage","242","units","0","v1001730782","2.5.6","1.6","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Curling rinks","Very poor","Percentage","242","units","0","v1001730056","2.19.1","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Curling rinks","Poor","Percentage","242","units","0","v1001730069","2.19.2","12.3","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Curling rinks","Fair","Percentage","242","units","0","v1001730082","2.19.3","42.8","E","","","1"
"2020","Newfoundland and Labrador","2016A000210","Curling rinks","Good","Percentage","242","units","0","v1001730095","2.19.4","7.4","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Curling rinks","Very good","Percentage","242","units","0","v1001730108","2.19.5","18.7","D","","","1"
"2020","Newfoundland and Labrador","2016A000210","Curling rinks","Physical condition unknown","Percentage","242","units","0","v1001730121","2.19.6","18.7","D","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 25 metres","Very poor","Percentage","242","units","0","v1001730794","2.6.1","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 25 metres","Poor","Percentage","242","units","0","v1001730808","2.6.2","14.7","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 25 metres","Fair","Percentage","242","units","0","v1001730822","2.6.3","8.6","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 25 metres","Good","Percentage","242","units","0","v1001730836","2.6.4","56.3","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 25 metres","Very good","Percentage","242","units","0","v1001730850","2.6.5","20.0","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 25 metres","Physical condition unknown","Percentage","242","units","0","v1001730864","2.6.6","0.3","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 50 metres or longer","Very poor","Percentage","242","units","0","v1234816653","2.7.1","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 50 metres or longer","Poor","Percentage","242","units","0","v1234816651","2.7.2","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 50 metres or longer","Fair","Percentage","242","units","0","v1234816649","2.7.3","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 50 metres or longer","Good","Percentage","242","units","0","v1234816650","2.7.4","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 50 metres or longer","Very good","Percentage","242","units","0","v1234816652","2.7.5","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, 50 metres or longer","Physical condition unknown","Percentage","242","units","0","v1234816648","2.7.6","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, leisure pools","Very poor","Percentage","242","units","0","v1001730932","2.8.1","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, leisure pools","Poor","Percentage","242","units","0","v1001730944","2.8.2","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, leisure pools","Fair","Percentage","242","units","0","v1001730956","2.8.3","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, leisure pools","Good","Percentage","242","units","0","v1001730968","2.8.4","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, leisure pools","Very good","Percentage","242","units","0","v1001730980","2.8.5","95.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Indoor pools, leisure pools","Physical condition unknown","Percentage","242","units","0","v1001730992","2.8.6","5.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor pools","Very poor","Percentage","242","units","0","v1001731004","2.9.1","10.1","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor pools","Poor","Percentage","242","units","0","v1001731015","2.9.2","10.7","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor pools","Fair","Percentage","242","units","0","v1001731026","2.9.3","37.9","D","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor pools","Good","Percentage","242","units","0","v1001731037","2.9.4","41.3","D","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor pools","Very good","Percentage","242","units","0","v1001731048","2.9.5","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor pools","Physical condition unknown","Percentage","242","units","0","v1001731059","2.9.6","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor spray parks/splash pads/wading pools","Very poor","Percentage","242","units","0","v1234816677","2.28.1","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor spray parks/splash pads/wading pools","Poor","Percentage","242","units","0","v1234816675","2.28.2","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor spray parks/splash pads/wading pools","Fair","Percentage","242","units","0","v1234816673","2.28.3","3.3","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor spray parks/splash pads/wading pools","Good","Percentage","242","units","0","v1234816674","2.28.4","26.6","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor spray parks/splash pads/wading pools","Very good","Percentage","242","units","0","v1234816676","2.28.5","69.9","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Outdoor spray parks/splash pads/wading pools","Physical condition unknown","Percentage","242","units","0","v1234816672","2.28.6","0.2","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Galleries","Very poor","Percentage","242","units","0","v1001729534","2.12.1","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Galleries","Poor","Percentage","242","units","0","v1001729545","2.12.2","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Galleries","Fair","Percentage","242","units","0","v1001729556","2.12.3","7.9","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Galleries","Good","Percentage","242","units","0","v1001729567","2.12.4","75.1","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Galleries","Very good","Percentage","242","units","0","v1001729578","2.12.5","17.0","D","","","1"
"2020","Newfoundland and Labrador","2016A000210","Galleries","Physical condition unknown","Percentage","242","units","0","v1001729589","2.12.6","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Libraries","Very poor","Percentage","242","units","0","v1001729600","2.13.1","0.0","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Libraries","Poor","Percentage","242","units","0","v1001729614","2.13.2","2.3","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Libraries","Fair","Percentage","242","units","0","v1001729628","2.13.3","16.7","B","","","1"
"2020","Newfoundland and Labrador","2016A000210","Libraries","Good","Percentage","242","units","0","v1001729642","2.13.4","40.8","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Libraries","Very good","Percentage","242","units","0","v1001729656","2.13.5","40.2","C","","","1"
"2020","Newfoundland and Labrador","2016A000210","Libraries","Physical condition unknown","Percentage","242","units","0","v1001729670","2.13.6","0.1","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Museums and archives","Very poor","Percentage","242","units","0","v1001729684","2.14.1","6.3","A","","","1"
"2020","Newfoundland and Labrador","2016A000210","Museums and archives","Poor","Percentage","242","units","0","v1001729698","2.14.2","6.8","A","","","1"
