"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Northwest Territories","2016A000261","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729317","13.1.1","17.8","C","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729331","13.1.2","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729345","13.1.3","30.5","B","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729359","13.1.4","33.0","C","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729373","13.1.5","18.3","C","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729387","13.1.6","0.5","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234817781","13.26.1","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234817779","13.26.2","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234817777","13.26.3","50.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234817778","13.26.4","50.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234817780","13.26.5","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234817776","13.26.6","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234817799","13.27.1","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234817797","13.27.2","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234817795","13.27.3","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: Performance/spectator","Good","Percentage","242","units","0","v1234817796","13.27.4","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: Performance/spectator","Very good","Percentage","242","units","0","v1234817798","13.27.5","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor ice arenas: Performance/spectator","Physical condition unknown","Percentage","242","units","0","v1234817794","13.27.6","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Outdoor ice arenas","Very poor","Percentage","242","units","0","v1001730732","13.5.1","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Outdoor ice arenas","Poor","Percentage","242","units","0","v1001730744","13.5.2","25.0","E","","","1"
"2020","Northwest Territories","2016A000261","Outdoor ice arenas","Fair","Percentage","242","units","0","v1001730756","13.5.3","12.5","C","","","1"
"2020","Northwest Territories","2016A000261","Outdoor ice arenas","Good","Percentage","242","units","0","v1001730768","13.5.4","50.0","D","","","1"
"2020","Northwest Territories","2016A000261","Outdoor ice arenas","Very good","Percentage","242","units","0","v1001730780","13.5.5","12.5","C","","","1"
"2020","Northwest Territories","2016A000261","Outdoor ice arenas","Physical condition unknown","Percentage","242","units","0","v1001730792","13.5.6","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Curling rinks","Very poor","Percentage","242","units","0","v1001730066","13.19.1","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Curling rinks","Poor","Percentage","242","units","0","v1001730079","13.19.2","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Curling rinks","Fair","Percentage","242","units","0","v1001730092","13.19.3","31.3","C","","","1"
"2020","Northwest Territories","2016A000261","Curling rinks","Good","Percentage","242","units","0","v1001730105","13.19.4","31.3","C","","","1"
"2020","Northwest Territories","2016A000261","Curling rinks","Very good","Percentage","242","units","0","v1001730118","13.19.5","36.6","E","","","1"
"2020","Northwest Territories","2016A000261","Curling rinks","Physical condition unknown","Percentage","242","units","0","v1001730131","13.19.6","0.9","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 25 metres","Very poor","Percentage","242","units","0","v1001730805","13.6.1","22.2","B","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 25 metres","Poor","Percentage","242","units","0","v1001730819","13.6.2","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 25 metres","Fair","Percentage","242","units","0","v1001730833","13.6.3","5.5","B","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 25 metres","Good","Percentage","242","units","0","v1001730847","13.6.4","55.6","D","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 25 metres","Very good","Percentage","242","units","0","v1001730861","13.6.5","15.8","D","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 25 metres","Physical condition unknown","Percentage","242","units","0","v1001730875","13.6.6","0.8","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 50 metres or longer","Very poor","Percentage","242","units","0","v1234817865","13.7.1","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 50 metres or longer","Poor","Percentage","242","units","0","v1234817863","13.7.2","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 50 metres or longer","Fair","Percentage","242","units","0","v1234817861","13.7.3","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 50 metres or longer","Good","Percentage","242","units","0","v1234817862","13.7.4","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 50 metres or longer","Very good","Percentage","242","units","0","v1234817864","13.7.5","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, 50 metres or longer","Physical condition unknown","Percentage","242","units","0","v1234817860","13.7.6","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, leisure pools","Very poor","Percentage","242","units","0","v1234817871","13.8.1","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, leisure pools","Poor","Percentage","242","units","0","v1234817869","13.8.2","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, leisure pools","Fair","Percentage","242","units","0","v1234817867","13.8.3","0.0","A","","","1"
"2020","Northwest Territories","2016A000261","Indoor pools, leisure pools","Good","Percentage","242","units","0","v1234817868","13.8.4","100.0","A","","","1"
