"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Nova Scotia","2016A000212","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729308","4.1.1","0.0","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729322","4.1.2","6.0","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729336","4.1.3","45.5","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729350","4.1.4","27.4","B","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729364","4.1.5","18.1","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729378","4.1.6","3.0","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234816833","4.26.1","0.0","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234816831","4.26.2","13.7","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234816829","4.26.3","28.9","B","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234816830","4.26.4","13.7","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234816832","4.26.5","43.7","B","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234816828","4.26.6","0.0","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234816845","4.27.1","0.0","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234816843","4.27.2","3.7","A","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234816841","4.27.3","11.1","B","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: Performance/spectator","Good","Percentage","242","units","0","v1234816842","4.27.4","67.8","C","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: Performance/spectator","Very good","Percentage","242","units","0","v1234816844","4.27.5","17.4","B","","","1"
"2020","Nova Scotia","2016A000212","Indoor ice arenas: Performance/spectator","Physical condition unknown","Percentage","242","units","0","v1234816840","4.27.6","0.0","A","","","1"
"2020","Nova Scotia","2016A000212","Outdoor ice arenas","Very poor","Percentage","242","units","0","v1001730724","4.5.1","0.0","A","","","1"
"2020","Nova Scotia","2016A000212","Outdoor ice arenas","Poor","Percentage","242","units","0","v1001730736","4.5.2","12.3","B","","","1"
