"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Nunavut","2016A000262","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729318","14.1.1","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729332","14.1.2","7.2","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729346","14.1.3","69.2","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729360","14.1.4","11.8","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729374","14.1.5","11.8","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729388","14.1.6","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234817937","14.26.1","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234817935","14.26.2","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234817933","14.26.3","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234817934","14.26.4","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234817936","14.26.5","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234817932","14.26.6","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234817967","14.27.1","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234817965","14.27.2","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234817963","14.27.3","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: Performance/spectator","Good","Percentage","242","units","0","v1234817964","14.27.4","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: Performance/spectator","Very good","Percentage","242","units","0","v1234817966","14.27.5","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor ice arenas: Performance/spectator","Physical condition unknown","Percentage","242","units","0","v1234817962","14.27.6","0.0","A","","","1"
"2020","Nunavut","2016A000262","Outdoor ice arenas","Very poor","Percentage","242","units","0","v1234817961","14.5.1","0.0","A","","","1"
"2020","Nunavut","2016A000262","Outdoor ice arenas","Poor","Percentage","242","units","0","v1234817959","14.5.2","0.0","A","","","1"
"2020","Nunavut","2016A000262","Outdoor ice arenas","Fair","Percentage","242","units","0","v1234817957","14.5.3","0.0","A","","","1"
"2020","Nunavut","2016A000262","Outdoor ice arenas","Good","Percentage","242","units","0","v1234817958","14.5.4","0.0","A","","","1"
"2020","Nunavut","2016A000262","Outdoor ice arenas","Very good","Percentage","242","units","0","v1234817960","14.5.5","0.0","A","","","1"
"2020","Nunavut","2016A000262","Outdoor ice arenas","Physical condition unknown","Percentage","242","units","0","v1234817956","14.5.6","0.0","A","","","1"
"2020","Nunavut","2016A000262","Curling rinks","Very poor","Percentage","242","units","0","v1001730067","14.19.1","0.0","A","","","1"
"2020","Nunavut","2016A000262","Curling rinks","Poor","Percentage","242","units","0","v1001730080","14.19.2","0.0","A","","","1"
"2020","Nunavut","2016A000262","Curling rinks","Fair","Percentage","242","units","0","v1001730093","14.19.3","100.0","A","","","1"
"2020","Nunavut","2016A000262","Curling rinks","Good","Percentage","242","units","0","v1001730106","14.19.4","0.0","A","","","1"
"2020","Nunavut","2016A000262","Curling rinks","Very good","Percentage","242","units","0","v1001730119","14.19.5","0.0","A","","","1"
"2020","Nunavut","2016A000262","Curling rinks","Physical condition unknown","Percentage","242","units","0","v1001730132","14.19.6","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 25 metres","Very poor","Percentage","242","units","0","v1001730806","14.6.1","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 25 metres","Poor","Percentage","242","units","0","v1001730820","14.6.2","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 25 metres","Fair","Percentage","242","units","0","v1001730834","14.6.3","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 25 metres","Good","Percentage","242","units","0","v1001730848","14.6.4","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 25 metres","Very good","Percentage","242","units","0","v1001730862","14.6.5","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 25 metres","Physical condition unknown","Percentage","242","units","0","v1001730876","14.6.6","100.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 50 metres or longer","Very poor","Percentage","242","units","0","v1234818027","14.7.1","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 50 metres or longer","Poor","Percentage","242","units","0","v1234818025","14.7.2","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 50 metres or longer","Fair","Percentage","242","units","0","v1234818023","14.7.3","0.0","A","","","1"
"2020","Nunavut","2016A000262","Indoor pools, 50 metres or longer","Good","Percentage","242","units","0","v1234818024","14.7.4","0.0","A","","","1"
