"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Ontario","2016A000235","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729311","7.1.1","5.6","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729325","7.1.2","18.1","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729339","7.1.3","23.1","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729353","7.1.4","33.1","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729367","7.1.5","13.5","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729381","7.1.6","6.5","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234817139","7.26.1","5.3","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234817137","7.26.2","12.2","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234817135","7.26.3","15.6","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234817136","7.26.4","39.1","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234817138","7.26.5","17.4","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234817134","7.26.6","10.5","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234817145","7.27.1","5.2","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234817143","7.27.2","8.0","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234817141","7.27.3","18.2","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: Performance/spectator","Good","Percentage","242","units","0","v1234817142","7.27.4","30.3","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: Performance/spectator","Very good","Percentage","242","units","0","v1234817144","7.27.5","27.6","A","","","1"
"2020","Ontario","2016A000235","Indoor ice arenas: Performance/spectator","Physical condition unknown","Percentage","242","units","0","v1234817140","7.27.6","10.7","A","","","1"
"2020","Ontario","2016A000235","Outdoor ice arenas","Very poor","Percentage","242","units","0","v1001730727","7.5.1","18.7","A","","","1"
"2020","Ontario","2016A000235","Outdoor ice arenas","Poor","Percentage","242","units","0","v1001730739","7.5.2","10.9","A","","","1"
"2020","Ontario","2016A000235","Outdoor ice arenas","Fair","Percentage","242","units","0","v1001730751","7.5.3","17.8","A","","","1"
"2020","Ontario","2016A000235","Outdoor ice arenas","Good","Percentage","242","units","0","v1001730763","7.5.4","21.8","A","","","1"
"2020","Ontario","2016A000235","Outdoor ice arenas","Very good","Percentage","242","units","0","v1001730775","7.5.5","9.3","A","","","1"
"2020","Ontario","2016A000235","Outdoor ice arenas","Physical condition unknown","Percentage","242","units","0","v1001730787","7.5.6","21.5","A","","","1"
"2020","Ontario","2016A000235","Curling rinks","Very poor","Percentage","242","units","0","v1001730060","7.19.1","1.4","A","","","1"
"2020","Ontario","2016A000235","Curling rinks","Poor","Percentage","242","units","0","v1001730073","7.19.2","14.2","A","","","1"
"2020","Ontario","2016A000235","Curling rinks","Fair","Percentage","242","units","0","v1001730086","7.19.3","29.9","A","","","1"
"2020","Ontario","2016A000235","Curling rinks","Good","Percentage","242","units","0","v1001730099","7.19.4","38.6","A","","","1"
"2020","Ontario","2016A000235","Curling rinks","Very good","Percentage","242","units","0","v1001730112","7.19.5","7.3","A","","","1"
"2020","Ontario","2016A000235","Curling rinks","Physical condition unknown","Percentage","242","units","0","v1001730125","7.19.6","8.6","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, 25 metres","Very poor","Percentage","242","units","0","v1001730799","7.6.1","6.5","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, 25 metres","Poor","Percentage","242","units","0","v1001730813","7.6.2","11.7","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, 25 metres","Fair","Percentage","242","units","0","v1001730827","7.6.3","24.9","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, 25 metres","Good","Percentage","242","units","0","v1001730841","7.6.4","24.9","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, 25 metres","Very good","Percentage","242","units","0","v1001730855","7.6.5","17.0","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, 25 metres","Physical condition unknown","Percentage","242","units","0","v1001730869","7.6.6","15.1","A","","","1"
"2020","Ontario","2016A000235","Indoor pools, 50 metres or longer","Very poor","Percentage","242","units","0","v1001730881","7.7.1","12.7","A","","","1"
