"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Quebec","2016A000224","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729310","6.1.1","8.3","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729324","6.1.2","8.5","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729338","6.1.3","18.6","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729352","6.1.4","31.2","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729366","6.1.5","28.5","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729380","6.1.6","4.9","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234817043","6.26.1","3.9","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234817041","6.26.2","6.3","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234817039","6.26.3","9.9","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234817040","6.26.4","25.1","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234817042","6.26.5","43.0","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234817038","6.26.6","11.8","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234817055","6.27.1","4.8","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234817053","6.27.2","13.4","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234817051","6.27.3","10.1","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: Performance/spectator","Good","Percentage","242","units","0","v1234817052","6.27.4","31.4","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: Performance/spectator","Very good","Percentage","242","units","0","v1234817054","6.27.5","35.4","A","","","1"
"2020","Quebec","2016A000224","Indoor ice arenas: Performance/spectator","Physical condition unknown","Percentage","242","units","0","v1234817050","6.27.6","5.0","A","","","1"
"2020","Quebec","2016A000224","Outdoor ice arenas","Very poor","Percentage","242","units","0","v1001730726","6.5.1","2.2","A","","","1"
"2020","Quebec","2016A000224","Outdoor ice arenas","Poor","Percentage","242","units","0","v1001730738","6.5.2","3.8","A","","","1"
"2020","Quebec","2016A000224","Outdoor ice arenas","Fair","Percentage","242","units","0","v1001730750","6.5.3","13.4","A","","","1"
"2020","Quebec","2016A000224","Outdoor ice arenas","Good","Percentage","242","units","0","v1001730762","6.5.4","34.5","A","","","1"
"2020","Quebec","2016A000224","Outdoor ice arenas","Very good","Percentage","242","units","0","v1001730774","6.5.5","27.3","A","","","1"
"2020","Quebec","2016A000224","Outdoor ice arenas","Physical condition unknown","Percentage","242","units","0","v1001730786","6.5.6","18.8","A","","","1"
"2020","Quebec","2016A000224","Curling rinks","Very poor","Percentage","242","units","0","v1001730059","6.19.1","4.7","A","","","1"
"2020","Quebec","2016A000224","Curling rinks","Poor","Percentage","242","units","0","v1001730072","6.19.2","2.1","A","","","1"
"2020","Quebec","2016A000224","Curling rinks","Fair","Percentage","242","units","0","v1001730085","6.19.3","20.8","A","","","1"
"2020","Quebec","2016A000224","Curling rinks","Good","Percentage","242","units","0","v1001730098","6.19.4","40.5","B","","","1"
"2020","Quebec","2016A000224","Curling rinks","Very good","Percentage","242","units","0","v1001730111","6.19.5","22.4","B","","","1"
"2020","Quebec","2016A000224","Curling rinks","Physical condition unknown","Percentage","242","units","0","v1001730124","6.19.6","9.6","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, 25 metres","Very poor","Percentage","242","units","0","v1001730798","6.6.1","15.1","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, 25 metres","Poor","Percentage","242","units","0","v1001730812","6.6.2","9.6","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, 25 metres","Fair","Percentage","242","units","0","v1001730826","6.6.3","11.0","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, 25 metres","Good","Percentage","242","units","0","v1001730840","6.6.4","19.9","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, 25 metres","Very good","Percentage","242","units","0","v1001730854","6.6.5","35.9","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, 25 metres","Physical condition unknown","Percentage","242","units","0","v1001730868","6.6.6","8.6","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, 50 metres or longer","Very poor","Percentage","242","units","0","v1001730880","6.7.1","0.0","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, 50 metres or longer","Poor","Percentage","242","units","0","v1001730889","6.7.2","0.0","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, 50 metres or longer","Fair","Percentage","242","units","0","v1001730898","6.7.3","31.5","B","","","1"
"2020","Quebec","2016A000224","Indoor pools, 50 metres or longer","Good","Percentage","242","units","0","v1001730907","6.7.4","42.6","B","","","1"
"2020","Quebec","2016A000224","Indoor pools, 50 metres or longer","Very good","Percentage","242","units","0","v1001730916","6.7.5","22.5","B","","","1"
"2020","Quebec","2016A000224","Indoor pools, 50 metres or longer","Physical condition unknown","Percentage","242","units","0","v1001730925","6.7.6","3.4","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, leisure pools","Very poor","Percentage","242","units","0","v1001730936","6.8.1","14.3","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, leisure pools","Poor","Percentage","242","units","0","v1001730948","6.8.2","19.0","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, leisure pools","Fair","Percentage","242","units","0","v1001730960","6.8.3","9.7","A","","","1"
"2020","Quebec","2016A000224","Indoor pools, leisure pools","Good","Percentage","242","units","0","v1001730972","6.8.4","25.7","B","","","1"
"2020","Quebec","2016A000224","Indoor pools, leisure pools","Very good","Percentage","242","units","0","v1001730984","6.8.5","26.2","B","","","1"
"2020","Quebec","2016A000224","Indoor pools, leisure pools","Physical condition unknown","Percentage","242","units","0","v1001730996","6.8.6","5.1","A","","","1"
"2020","Quebec","2016A000224","Outdoor pools","Very poor","Percentage","242","units","0","v1001731008","6.9.1","13.0","A","","","1"
"2020","Quebec","2016A000224","Outdoor pools","Poor","Percentage","242","units","0","v1001731019","6.9.2","12.7","A","","","1"
"2020","Quebec","2016A000224","Outdoor pools","Fair","Percentage","242","units","0","v1001731030","6.9.3","23.8","A","","","1"
"2020","Quebec","2016A000224","Outdoor pools","Good","Percentage","242","units","0","v1001731041","6.9.4","29.9","A","","","1"
"2020","Quebec","2016A000224","Outdoor pools","Very good","Percentage","242","units","0","v1001731052","6.9.5","14.4","A","","","1"
"2020","Quebec","2016A000224","Outdoor pools","Physical condition unknown","Percentage","242","units","0","v1001731063","6.9.6","6.2","A","","","1"
"2020","Quebec","2016A000224","Outdoor spray parks/splash pads/wading pools","Very poor","Percentage","242","units","0","v1234817121","6.28.1","16.5","A","","","1"
"2020","Quebec","2016A000224","Outdoor spray parks/splash pads/wading pools","Poor","Percentage","242","units","0","v1234817119","6.28.2","6.2","A","","","1"
"2020","Quebec","2016A000224","Outdoor spray parks/splash pads/wading pools","Fair","Percentage","242","units","0","v1234817117","6.28.3","9.1","A","","","1"
"2020","Quebec","2016A000224","Outdoor spray parks/splash pads/wading pools","Good","Percentage","242","units","0","v1234817118","6.28.4","23.5","A","","","1"
"2020","Quebec","2016A000224","Outdoor spray parks/splash pads/wading pools","Very good","Percentage","242","units","0","v1234817120","6.28.5","38.8","A","","","1"
"2020","Quebec","2016A000224","Outdoor spray parks/splash pads/wading pools","Physical condition unknown","Percentage","242","units","0","v1234817116","6.28.6","5.9","A","","","1"
"2020","Quebec","2016A000224","Galleries","Very poor","Percentage","242","units","0","v1001729538","6.12.1","8.7","A","","","1"
"2020","Quebec","2016A000224","Galleries","Poor","Percentage","242","units","0","v1001729549","6.12.2","7.0","A","","","1"
"2020","Quebec","2016A000224","Galleries","Fair","Percentage","242","units","0","v1001729560","6.12.3","17.2","A","","","1"
"2020","Quebec","2016A000224","Galleries","Good","Percentage","242","units","0","v1001729571","6.12.4","33.3","A","","","1"
"2020","Quebec","2016A000224","Galleries","Very good","Percentage","242","units","0","v1001729582","6.12.5","28.2","A","","","1"
"2020","Quebec","2016A000224","Galleries","Physical condition unknown","Percentage","242","units","0","v1001729593","6.12.6","5.5","A","","","1"
"2020","Quebec","2016A000224","Libraries","Very poor","Percentage","242","units","0","v1001729604","6.13.1","2.3","A","","","1"
"2020","Quebec","2016A000224","Libraries","Poor","Percentage","242","units","0","v1001729618","6.13.2","4.4","A","","","1"
"2020","Quebec","2016A000224","Libraries","Fair","Percentage","242","units","0","v1001729632","6.13.3","12.8","A","","","1"
"2020","Quebec","2016A000224","Libraries","Good","Percentage","242","units","0","v1001729646","6.13.4","33.3","A","","","1"
"2020","Quebec","2016A000224","Libraries","Very good","Percentage","242","units","0","v1001729660","6.13.5","41.3","A","","","1"
"2020","Quebec","2016A000224","Libraries","Physical condition unknown","Percentage","242","units","0","v1001729674","6.13.6","5.8","A","","","1"
"2020","Quebec","2016A000224","Museums and archives","Very poor","Percentage","242","units","0","v1001729688","6.14.1","1.9","A","","","1"
"2020","Quebec","2016A000224","Museums and archives","Poor","Percentage","242","units","0","v1001729702","6.14.2","7.9","A","","","1"
"2020","Quebec","2016A000224","Museums and archives","Fair","Percentage","242","units","0","v1001729716","6.14.3","9.7","A","","","1"
"2020","Quebec","2016A000224","Museums and archives","Good","Percentage","242","units","0","v1001729730","6.14.4","23.9","A","","","1"
"2020","Quebec","2016A000224","Museums and archives","Very good","Percentage","242","units","0","v1001729744","6.14.5","29.0","A","","","1"
"2020","Quebec","2016A000224","Museums and archives","Physical condition unknown","Percentage","242","units","0","v1001729758","6.14.6","27.5","A","","","1"
"2020","Quebec","2016A000224","Presentation and performance spaces","Very poor","Percentage","242","units","0","v1001729772","6.15.1","2.7","A","","","1"
"2020","Quebec","2016A000224","Presentation and performance spaces","Poor","Percentage","242","units","0","v1001729785","6.15.2","4.9","A","","","1"
"2020","Quebec","2016A000224","Presentation and performance spaces","Fair","Percentage","242","units","0","v1001729798","6.15.3","11.3","A","","","1"
"2020","Quebec","2016A000224","Presentation and performance spaces","Good","Percentage","242","units","0","v1001729811","6.15.4","33.6","A","","","1"
"2020","Quebec","2016A000224","Presentation and performance spaces","Very good","Percentage","242","units","0","v1001729824","6.15.5","35.8","A","","","1"
"2020","Quebec","2016A000224","Presentation and performance spaces","Physical condition unknown","Percentage","242","units","0","v1001729837","6.15.6","11.7","A","","","1"
"2020","Quebec","2016A000224","Indigenous culture facilities","Very poor","Percentage","242","units","0","v1234817091","6.29.1","0.0","A","","","1"
"2020","Quebec","2016A000224","Indigenous culture facilities","Poor","Percentage","242","units","0","v1234817089","6.29.2","0.0","A","","","1"
"2020","Quebec","2016A000224","Indigenous culture facilities","Fair","Percentage","242","units","0","v1234817087","6.29.3","15.4","E","","","1"
"2020","Quebec","2016A000224","Indigenous culture facilities","Good","Percentage","242","units","0","v1234817088","6.29.4","58.0","D","","","1"
"2020","Quebec","2016A000224","Indigenous culture facilities","Very good","Percentage","242","units","0","v1234817090","6.29.5","18.0","C","","","1"
"2020","Quebec","2016A000224","Indigenous culture facilities","Physical condition unknown","Percentage","242","units","0","v1234817086","6.29.6","8.6","C","","","1"
"2020","Quebec","2016A000224","Community centres (senior and youth centres)","Very poor","Percentage","242","units","0","v1001729850","6.16.1","6.8","A","","","1"
"2020","Quebec","2016A000224","Community centres (senior and youth centres)","Poor","Percentage","242","units","0","v1001729864","6.16.2","8.0","A","","","1"
"2020","Quebec","2016A000224","Community centres (senior and youth centres)","Fair","Percentage","242","units","0","v1001729878","6.16.3","14.1","A","","","1"
"2020","Quebec","2016A000224","Community centres (senior and youth centres)","Good","Percentage","242","units","0","v1001729892","6.16.4","30.6","A","","","1"
"2020","Quebec","2016A000224","Community centres (senior and youth centres)","Very good","Percentage","242","units","0","v1001729906","6.16.5","33.7","A","","","1"
"2020","Quebec","2016A000224","Community centres (senior and youth centres)","Physical condition unknown","Percentage","242","units","0","v1001729920","6.16.6","6.9","A","","","1"
"2020","Quebec","2016A000224","Indoor gymnasiums","Very poor","Percentage","242","units","0","v1234817085","6.30.1","3.3","A","","","1"
"2020","Quebec","2016A000224","Indoor gymnasiums","Poor","Percentage","242","units","0","v1234817083","6.30.2","5.6","A","","","1"
"2020","Quebec","2016A000224","Indoor gymnasiums","Fair","Percentage","242","units","0","v1234817081","6.30.3","9.9","A","","","1"
"2020","Quebec","2016A000224","Indoor gymnasiums","Good","Percentage","242","units","0","v1234817082","6.30.4","29.7","A","","","1"
"2020","Quebec","2016A000224","Indoor gymnasiums","Very good","Percentage","242","units","0","v1234817084","6.30.5","37.4","A","","","1"
