"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Saskatchewan","2016A000247","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729313","9.1.1","3.2","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729327","9.1.2","12.2","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729341","9.1.3","32.3","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729355","9.1.4","36.5","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729369","9.1.5","15.6","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729383","9.1.6","0.2","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234817343","9.26.1","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234817341","9.26.2","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234817339","9.26.3","13.7","B","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234817340","9.26.4","72.6","C","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234817342","9.26.5","13.7","B","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234817338","9.26.6","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234817355","9.27.1","4.2","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234817353","9.27.2","0.2","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234817351","9.27.3","36.1","B","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: Performance/spectator","Good","Percentage","242","units","0","v1234817352","9.27.4","30.5","B","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: Performance/spectator","Very good","Percentage","242","units","0","v1234817354","9.27.5","28.9","B","","","1"
"2020","Saskatchewan","2016A000247","Indoor ice arenas: Performance/spectator","Physical condition unknown","Percentage","242","units","0","v1234817350","9.27.6","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor ice arenas","Very poor","Percentage","242","units","0","v1001730729","9.5.1","5.5","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor ice arenas","Poor","Percentage","242","units","0","v1001730741","9.5.2","15.9","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor ice arenas","Fair","Percentage","242","units","0","v1001730753","9.5.3","43.5","B","","","1"
"2020","Saskatchewan","2016A000247","Outdoor ice arenas","Good","Percentage","242","units","0","v1001730765","9.5.4","26.8","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor ice arenas","Very good","Percentage","242","units","0","v1001730777","9.5.5","6.6","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor ice arenas","Physical condition unknown","Percentage","242","units","0","v1001730789","9.5.6","1.7","A","","","1"
"2020","Saskatchewan","2016A000247","Curling rinks","Very poor","Percentage","242","units","0","v1001730062","9.19.1","7.4","A","","","1"
"2020","Saskatchewan","2016A000247","Curling rinks","Poor","Percentage","242","units","0","v1001730075","9.19.2","5.2","A","","","1"
"2020","Saskatchewan","2016A000247","Curling rinks","Fair","Percentage","242","units","0","v1001730088","9.19.3","47.1","B","","","1"
"2020","Saskatchewan","2016A000247","Curling rinks","Good","Percentage","242","units","0","v1001730101","9.19.4","29.5","B","","","1"
"2020","Saskatchewan","2016A000247","Curling rinks","Very good","Percentage","242","units","0","v1001730114","9.19.5","10.3","A","","","1"
"2020","Saskatchewan","2016A000247","Curling rinks","Physical condition unknown","Percentage","242","units","0","v1001730127","9.19.6","0.5","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 25 metres","Very poor","Percentage","242","units","0","v1001730801","9.6.1","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 25 metres","Poor","Percentage","242","units","0","v1001730815","9.6.2","15.3","B","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 25 metres","Fair","Percentage","242","units","0","v1001730829","9.6.3","14.4","B","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 25 metres","Good","Percentage","242","units","0","v1001730843","9.6.4","36.7","C","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 25 metres","Very good","Percentage","242","units","0","v1001730857","9.6.5","33.7","D","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 25 metres","Physical condition unknown","Percentage","242","units","0","v1001730871","9.6.6","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 50 metres or longer","Very poor","Percentage","242","units","0","v1001730883","9.7.1","50.0","D","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 50 metres or longer","Poor","Percentage","242","units","0","v1001730892","9.7.2","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 50 metres or longer","Fair","Percentage","242","units","0","v1001730901","9.7.3","25.0","B","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 50 metres or longer","Good","Percentage","242","units","0","v1001730910","9.7.4","25.0","B","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 50 metres or longer","Very good","Percentage","242","units","0","v1001730919","9.7.5","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, 50 metres or longer","Physical condition unknown","Percentage","242","units","0","v1001730928","9.7.6","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, leisure pools","Very poor","Percentage","242","units","0","v1001730939","9.8.1","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, leisure pools","Poor","Percentage","242","units","0","v1001730951","9.8.2","20.0","C","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, leisure pools","Fair","Percentage","242","units","0","v1001730963","9.8.3","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, leisure pools","Good","Percentage","242","units","0","v1001730975","9.8.4","80.0","C","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, leisure pools","Very good","Percentage","242","units","0","v1001730987","9.8.5","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Indoor pools, leisure pools","Physical condition unknown","Percentage","242","units","0","v1001730999","9.8.6","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor pools","Very poor","Percentage","242","units","0","v1001731011","9.9.1","13.5","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor pools","Poor","Percentage","242","units","0","v1001731022","9.9.2","8.5","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor pools","Fair","Percentage","242","units","0","v1001731033","9.9.3","9.8","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor pools","Good","Percentage","242","units","0","v1001731044","9.9.4","29.7","B","","","1"
"2020","Saskatchewan","2016A000247","Outdoor pools","Very good","Percentage","242","units","0","v1001731055","9.9.5","38.4","B","","","1"
"2020","Saskatchewan","2016A000247","Outdoor pools","Physical condition unknown","Percentage","242","units","0","v1001731066","9.9.6","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor spray parks/splash pads/wading pools","Very poor","Percentage","242","units","0","v1234817427","9.28.1","8.9","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor spray parks/splash pads/wading pools","Poor","Percentage","242","units","0","v1234817425","9.28.2","17.3","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor spray parks/splash pads/wading pools","Fair","Percentage","242","units","0","v1234817423","9.28.3","13.6","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor spray parks/splash pads/wading pools","Good","Percentage","242","units","0","v1234817424","9.28.4","33.7","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor spray parks/splash pads/wading pools","Very good","Percentage","242","units","0","v1234817426","9.28.5","25.5","A","","","1"
"2020","Saskatchewan","2016A000247","Outdoor spray parks/splash pads/wading pools","Physical condition unknown","Percentage","242","units","0","v1234817422","9.28.6","1.1","A","","","1"
"2020","Saskatchewan","2016A000247","Galleries","Very poor","Percentage","242","units","0","v1001729541","9.12.1","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Galleries","Poor","Percentage","242","units","0","v1001729552","9.12.2","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Galleries","Fair","Percentage","242","units","0","v1001729563","9.12.3","34.4","B","","","1"
"2020","Saskatchewan","2016A000247","Galleries","Good","Percentage","242","units","0","v1001729574","9.12.4","25.2","B","","","1"
"2020","Saskatchewan","2016A000247","Galleries","Very good","Percentage","242","units","0","v1001729585","9.12.5","9.3","A","","","1"
"2020","Saskatchewan","2016A000247","Galleries","Physical condition unknown","Percentage","242","units","0","v1001729596","9.12.6","31.2","C","","","1"
"2020","Saskatchewan","2016A000247","Libraries","Very poor","Percentage","242","units","0","v1001729607","9.13.1","0.0","A","","","1"
"2020","Saskatchewan","2016A000247","Libraries","Poor","Percentage","242","units","0","v1001729621","9.13.2","7.8","A","","","1"
"2020","Saskatchewan","2016A000247","Libraries","Fair","Percentage","242","units","0","v1001729635","9.13.3","20.6","A","","","1"
"2020","Saskatchewan","2016A000247","Libraries","Good","Percentage","242","units","0","v1001729649","9.13.4","42.2","B","","","1"
"2020","Saskatchewan","2016A000247","Libraries","Very good","Percentage","242","units","0","v1001729663","9.13.5","22.6","A","","","1"
"2020","Saskatchewan","2016A000247","Libraries","Physical condition unknown","Percentage","242","units","0","v1001729677","9.13.6","6.8","A","","","1"
