"REF_DATE","GEO","DGUID","Culture, recreation and sports facilities","Overall physical condition of assets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Yukon","2016A000260","Indoor ice arenas, single pad","Very poor","Percentage","242","units","0","v1001729316","12.1.1","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas, single pad","Poor","Percentage","242","units","0","v1001729330","12.1.2","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas, single pad","Fair","Percentage","242","units","0","v1001729344","12.1.3","49.1","E","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas, single pad","Good","Percentage","242","units","0","v1001729358","12.1.4","36.6","E","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas, single pad","Very good","Percentage","242","units","0","v1001729372","12.1.5","14.3","B","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas, single pad","Physical condition unknown","Percentage","242","units","0","v1001729386","12.1.6","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: multiple pads (two or more)","Very poor","Percentage","242","units","0","v1234817625","12.26.1","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: multiple pads (two or more)","Poor","Percentage","242","units","0","v1234817623","12.26.2","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: multiple pads (two or more)","Fair","Percentage","242","units","0","v1234817621","12.26.3","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: multiple pads (two or more)","Good","Percentage","242","units","0","v1234817622","12.26.4","10.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: multiple pads (two or more)","Very good","Percentage","242","units","0","v1234817624","12.26.5","90.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: multiple pads (two or more)","Physical condition unknown","Percentage","242","units","0","v1234817620","12.26.6","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: Performance/spectator","Very poor","Percentage","242","units","0","v1234817649","12.27.1","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: Performance/spectator","Poor","Percentage","242","units","0","v1234817647","12.27.2","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: Performance/spectator","Fair","Percentage","242","units","0","v1234817645","12.27.3","50.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: Performance/spectator","Good","Percentage","242","units","0","v1234817646","12.27.4","50.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: Performance/spectator","Very good","Percentage","242","units","0","v1234817648","12.27.5","0.0","A","","","1"
"2020","Yukon","2016A000260","Indoor ice arenas: Performance/spectator","Physical condition unknown","Percentage","242","units","0","v1234817644","12.27.6","0.0","A","","","1"
"2020","Yukon","2016A000260","Outdoor ice arenas","Very poor","Percentage","242","units","0","v1234817643","12.5.1","0.0","A","","","1"
